date_id,release_date,year,month
516,2011-07-15,2011,7
517,2011-07-18,2011,7
518,2011-07-19,2011,7
519,2011-07-20,2011,7
520,2011-07-25,2011,7
521,2011-07-26,2011,7
522,2011-07-27,2011,7
523,2011-07-29,2011,7
524,2011-08-02,2011,8
525,2011-08-08,2011,8
526,2011-08-10,2011,8
527,2011-08-11,2011,8
528,2011-08-15,2011,8
529,2011-08-16,2011,8
530,2011-08-17,2011,8
531,2011-08-19,2011,8
532,2011-08-24,2011,8
533,2011-08-26,2011,8
534,2011-08-29,2011,8
535,2011-08-30,2011,8
536,2011-08-31,2011,8
537,2011-09-01,2011,9
538,2011-09-07,2011,9
539,2011-09-08,2011,9
540,2011-09-13,2011,9
541,2011-09-15,2011,9
542,2011-09-16,2011,9
543,2011-09-19,2011,9
544,2011-09-21,2011,9
545,2011-09-23,2011,9
546,2011-09-26,2011,9
547,2011-09-27,2011,9
548,2011-09-28,2011,9
549,2011-09-29,2011,9
550,2011-09-30,2011,9
551,2011-10-03,2011,10
552,2011-10-11,2011,10
553,2011-10-12,2011,10
554,2011-10-13,2011,10
555,2011-10-14,2011,10
556,2011-10-18,2011,10
557,2011-10-19,2011,10
558,2011-10-20,2011,10
559,2011-10-24,2011,10
560,2011-10-26,2011,10
561,2011-10-27,2011,10
562,2011-10-28,2011,10
563,2011-10-31,2011,10
564,2011-11-02,2011,11
565,2011-11-08,2011,11
566,2011-11-10,2011,11
567,2011-11-14,2011,11
568,2011-11-15,2011,11
569,2011-11-16,2011,11
570,2011-11-17,2011,11
571,2011-11-18,2011,11
572,2011-11-21,2011,11
573,2011-11-22,2011,11
574,2011-11-23,2011,11
575,2011-11-29,2011,11
576,2011-11-30,2011,11
577,2011-12-02,2011,12
578,2011-12-06,2011,12
579,2011-12-07,2011,12
580,2011-12-13,2011,12
581,2011-12-14,2011,12
582,2011-12-16,2011,12
583,2011-12-19,2011,12
584,2012-01-05,2012,1
585,2012-01-11,2012,1
586,2012-01-13,2012,1
587,2012-01-16,2012,1
588,2012-01-17,2012,1
589,2012-01-19,2012,1
590,2012-01-24,2012,1
591,2012-01-25,2012,1
592,2012-01-27,2012,1
593,2012-01-30,2012,1
594,2012-01-31,2012,1
595,2012-02-02,2012,2
596,2012-02-03,2012,2
597,2012-02-07,2012,2
598,2012-02-08,2012,2
599,2012-02-09,2012,2
600,2012-02-10,2012,2
601,2012-02-14,2012,2
602,2012-02-16,2012,2
603,2012-02-17,2012,2
604,2012-02-22,2012,2
605,2012-02-24,2012,2
606,2012-02-27,2012,2
607,2012-02-28,2012,2
608,2012-02-29,2012,2
609,2012-03-01,2012,3
610,2012-03-02,2012,3
611,2012-03-06,2012,3
612,2012-03-08,2012,3
613,2012-03-14,2012,3
614,2012-03-15,2012,3
615,2012-03-16,2012,3
616,2012-03-19,2012,3
617,2012-03-20,2012,3
618,2012-03-21,2012,3
619,2012-03-28,2012,3
620,2012-03-29,2012,3
621,2012-03-30,2012,3
622,2012-04-04,2012,4
623,2012-04-05,2012,4
624,2012-04-06,2012,4
625,2012-04-09,2012,4
626,2012-04-10,2012,4
627,2012-04-11,2012,4
628,2012-04-12,2012,4
629,2012-04-16,2012,4
630,2012-04-17,2012,4
631,2012-04-19,2012,4
632,2012-04-20,2012,4
633,2012-04-23,2012,4
634,2012-04-24,2012,4
635,2012-04-25,2012,4
636,2012-04-26,2012,4
637,2012-04-27,2012,4
638,2012-05-01,2012,5
639,2012-05-04,2012,5
640,2012-05-07,2012,5
641,2012-05-08,2012,5
642,2012-05-10,2012,5
643,2012-05-11,2012,5
644,2012-05-15,2012,5
645,2012-05-16,2012,5
646,2012-05-17,2012,5
647,2012-05-18,2012,5
648,2012-05-22,2012,5
649,2012-05-24,2012,5
650,2012-05-25,2012,5
651,2012-05-28,2012,5
652,2012-05-31,2012,5
653,2012-06-06,2012,6
654,2012-06-07,2012,6
655,2012-06-08,2012,6
656,2012-06-12,2012,6
657,2012-06-13,2012,6
658,2012-06-19,2012,6
659,2012-06-21,2012,6
660,2012-06-22,2012,6
661,2012-06-25,2012,6
662,2012-06-26,2012,6
663,2012-06-27,2012,6
664,2012-07-02,2012,7
665,2012-07-05,2012,7
666,2012-07-09,2012,7
667,2012-07-10,2012,7
668,2012-07-12,2012,7
669,2012-07-24,2012,7
670,2012-07-25,2012,7
671,2012-07-26,2012,7
672,2012-07-27,2012,7
673,2012-07-30,2012,7
674,2012-07-31,2012,7
675,2012-08-01,2012,8
676,2012-08-03,2012,8
677,2012-08-06,2012,8
678,2012-08-07,2012,8
679,2012-08-08,2012,8
680,2012-08-09,2012,8
681,2012-08-13,2012,8
682,2012-08-14,2012,8
683,2012-08-15,2012,8
684,2012-08-20,2012,8
685,2012-08-21,2012,8
686,2012-08-22,2012,8
687,2012-08-23,2012,8
688,2012-08-24,2012,8
689,2012-08-28,2012,8
690,2012-08-29,2012,8
691,2012-08-30,2012,8
692,2012-08-31,2012,8
693,2012-09-03,2012,9
694,2012-09-04,2012,9
695,2012-09-06,2012,9
696,2012-09-07,2012,9
697,2012-09-11,2012,9
698,2012-09-13,2012,9
699,2012-09-14,2012,9
700,2012-09-17,2012,9
701,2012-09-19,2012,9
702,2012-09-20,2012,9
703,2012-09-21,2012,9
704,2012-09-24,2012,9
705,2012-09-25,2012,9
706,2012-09-26,2012,9
707,2012-09-27,2012,9
708,2012-09-28,2012,9
709,2012-10-01,2012,10
710,2012-10-02,2012,10
711,2012-10-03,2012,10
712,2012-10-05,2012,10
713,2012-10-08,2012,10
714,2012-10-10,2012,10
715,2012-10-11,2012,10
716,2012-10-12,2012,10
717,2012-10-15,2012,10
718,2012-10-16,2012,10
719,2012-10-17,2012,10
720,2012-10-18,2012,10
721,2012-10-22,2012,10
722,2012-10-23,2012,10
723,2012-10-24,2012,10
724,2012-10-25,2012,10
725,2012-10-26,2012,10
726,2012-10-29,2012,10
727,2012-10-30,2012,10
728,2012-10-31,2012,10
729,2012-11-01,2012,11
730,2012-11-02,2012,11
731,2012-11-06,2012,11
732,2012-11-07,2012,11
733,2012-11-09,2012,11
734,2012-11-12,2012,11
735,2012-11-16,2012,11
736,2012-11-19,2012,11
737,2012-11-20,2012,11
738,2012-11-27,2012,11
739,2012-11-28,2012,11
740,2012-11-30,2012,11
741,2012-12-03,2012,12
742,2012-12-04,2012,12
743,2012-12-05,2012,12
744,2012-12-06,2012,12
745,2012-12-07,2012,12
746,2012-12-10,2012,12
747,2012-12-11,2012,12
748,2012-12-12,2012,12
749,2012-12-13,2012,12
